neighbourhood_cleansed,id,price,latitude,longitude,people,rooms,review.num,ratings.old,superhost,no.private,living
Austin,26474418,79,41.90924368,-87.79899965,6,0,8,98,0,0,1
West Town,26476222,150,41.89390588,-87.65164764,2,1,10,93,0,0,1
Near North Side,26476284,75,41.90754845,-87.63910314,3,1,10,90,0,0,1
Woodlawn,26476402,89,41.7841665,-87.5980946,6,2,16,100,1,0,1
Humboldt Park,26483080,35,41.90007319,-87.72597023,2,1,11,90,0,0,0
West Town,26489559,120,41.8999854,-87.67350479,2,1,3,100,1,0,0
Near North Side,26490361,180,41.89385237,-87.63319163,6,2,10,98,1,0,1
Near South Side,26492935,260,41.86670618,-87.62577012,5,2,2,70,0,0,1
West Town,26494028,425,41.89574414,-87.68228771,9,4,8,100,0,0,1
Uptown,26494901,75,41.96978679,-87.64941981,2,0,35,97,1,0,1
Uptown,26495558,80,41.97427246,-87.66986183,2,1,10,82,0,0,0
Lincoln Park,26499010,109,41.93157019,-87.66805823,6,2,20,98,0,0,1
West Town,26500795,92,41.89698985,-87.6919973,3,1,28,100,1,0,1
Edgewater,26502662,100,41.98977861,-87.65602314,4,1,3,90,0,0,1
Near South Side,26502857,95,41.86547047,-87.62689815,2,1,9,93,0,0,0
South Lawndale,26504307,110,41.84642901,-87.698298,9,3,29,94,1,0,1
West Ridge,26505035,63,41.9961323,-87.68671017,2,0,1,,0,0,0
Logan Square,26516112,99,41.91576824,-87.70510146,5,1,4,100,0,0,1
Fuller Park,26523610,300,41.81450591,-87.63461489,4,1,5,100,0,0,1
Logan Square,26525178,55,41.93012902,-87.71250787,2,1,14,99,1,0,0
Jefferson Park,26529302,60,41.97884165,-87.78696844,2,1,9,89,0,0,0
Lake View,26529979,899,41.95186539,-87.6585089,16,7,2,100,1,0,1
West Town,26532793,164,41.90679487,-87.6670938,6,2,15,93,0,0,1
Jefferson Park,26553443,86,41.97878399,-87.78670136,4,1,3,100,0,0,1
West Town,26559603,299,41.91090353,-87.6904054,5,2,7,97,0,0,1
Uptown,26559956,99,41.96367994,-87.65139011,4,1,5,76,0,0,1
Lake View,26561947,90,41.93685094,-87.65299884,3,0,10,96,1,0,1
Lake View,26565556,115,41.93807587,-87.66456138,3,1,28,95,0,0,1
Near North Side,26566001,120,41.89807791,-87.62247568,2,0,0,,1,0,1
West Town,26566440,280,41.90813521,-87.67470367,12,3,0,,1,0,1
Edgewater,26566844,69,41.99366468,-87.65633252,2,1,3,70,0,0,1
Uptown,26567564,130,41.96994883,-87.65851622,8,3,13,95,0,0,1
Kenwood,26568536,199,41.81058093,-87.59931925,6,2,3,100,0,0,1
Lake View,26568759,127,41.95092383,-87.64597294,4,0,9,96,1,0,1
Near North Side,26569324,135,41.8884512,-87.63276238,2,0,0,,0,0,1
Loop,26569690,235,41.88407964,-87.62606595,6,3,2,100,0,0,1
Lake View,26570928,150,41.95133074,-87.65133288,5,1,9,100,1,0,1
Lake View,26579870,178,41.94367773,-87.65116682,7,2,6,87,0,0,1
Logan Square,26588837,350,41.91719189,-87.69735973,4,3,2,90,0,0,1
Albany Park,26590209,199,41.96393988,-87.71784448,16,5,10,98,1,0,1
Near North Side,26590824,115,41.90261307,-87.62969974,4,0,1,100,1,0,1
Austin,26597593,45,41.89912729,-87.76867612,2,1,20,94,0,0,1
Irving Park,26597961,100,41.94916072,-87.73007029,4,1,1,100,0,1,0
Near West Side,26606616,115,41.88256965,-87.63922897,4,0,5,96,0,0,1
Near South Side,26607433,95,41.86556086,-87.62791229,2,1,9,82,0,0,0
Near West Side,26625578,150,41.88095819,-87.63881918,4,0,2,90,1,0,1
Calumet Heights,26628029,13,41.7279944,-87.57815941,1,1,11,98,0,1,0
Calumet Heights,26629261,11,41.72945001,-87.57810506,1,1,17,94,0,1,0
Loop,26629673,169,41.86780126,-87.62878553,6,2,2,40,0,0,1
Lake View,26632266,225,41.94293829,-87.64997998,6,2,4,100,0,0,1
Near West Side,26632936,150,41.88277718,-87.64166617,4,0,2,90,0,0,1
West Town,26634365,190,41.90642947,-87.68642514,8,3,11,100,1,0,1
Edgewater,26634502,67,41.98778522,-87.6669886,4,1,13,100,1,0,0
Near North Side,26634712,220,41.88804203,-87.63402167,3,1,2,80,0,0,1
Near North Side,26634970,250,41.88812586,-87.63397724,5,2,4,90,0,0,1
Near North Side,26635199,250,41.8895482,-87.63422003,5,2,4,100,0,0,1
Near North Side,26635454,180,41.88998901,-87.63473467,3,0,3,100,0,0,1
Loop,26635752,150,41.88356103,-87.63270485,4,0,1,100,0,0,1
Irving Park,26638174,65,41.94856601,-87.70324256,2,1,16,99,1,0,0
North Center,26638729,199,41.93910602,-87.68146133,9,3,0,,0,0,1
Lake View,26639076,500,41.94520447,-87.64963095,11,4,7,95,0,0,1
Loop,26639168,150,41.88407694,-87.6294206,4,0,1,100,1,0,1
Near West Side,26639751,129,41.88091503,-87.64285173,3,1,38,96,1,0,1
Near North Side,26640955,120,41.90277592,-87.6298134,4,0,3,93,0,0,1
West Town,26642390,88,41.89948638,-87.68043417,1,1,14,81,0,0,0
Logan Square,26643622,57,41.93164352,-87.6912984,2,1,17,93,1,0,0
West Town,26646250,400,41.89577854,-87.6590895,11,3,10,94,1,0,1
Logan Square,26656464,110,41.91546018,-87.70003751,4,2,7,100,0,0,1
Lower West Side,26657569,90,41.85345868,-87.68252024,6,2,2,90,0,0,1
Logan Square,26659749,199,41.91596134,-87.67897523,6,3,7,94,1,0,1
Near West Side,26662130,150,41.88281164,-87.64453457,4,0,1,100,1,0,1
